County,2017income,,
Anderson,"32,759",,
Andrews,"45,435",,
Angelina,"37,347",,
Aransas,"45,597",,
Archer,"47,778",,
Armstrong,"46,128",,
Atascosa,"35,517",,
Austin,"48,176",,
Bailey,"42,853",,
Bandera,"41,871",,
Bastrop,"35,202",,
Baylor,"42,420",,
Bee,"27,687",,
Bell,"42,147",,
Bexar,"44,170",,
Blanco,"50,806",,
Borden,"46,175",,
Bosque,"39,436",,
Bowie,"39,187",,
Brazoria,"45,864",,
Brazos,"37,426",,
Brewster,"43,291",,
Briscoe,"40,410",,
Brooks,"33,131",,
Brown,"37,366",,
Burleson,"41,379",,
Burnet,"45,129",,
Caldwell,"32,209",,
Calhoun,"37,583",,
Callahan,"37,514",,
Cameron,"27,622",,
Camp,"36,760",,
Carson,"43,496",,
Cass,"35,133",,
Castro,"62,749",,
Chambers,"52,485",,
Cherokee,"33,303",,
Childress,"29,305",,
Clay,"40,561",,
Cochran,"38,066",,
Coke,"39,228",,
Coleman,"39,377",,
Collin,"63,911",,
Collingsworth,"37,574",,
Colorado,"44,761",,
Comal,"56,841",,
Comanche,"38,886",,
Concho,"31,897",,
Cooke,"50,625",,
Coryell,"33,261",,
Cottle,"60,087",,
Crane,"42,923",,
Crockett,"39,277",,
Crosby,"33,399",,
Culberson,"46,813",,
Dallam,"65,231",,
Dallas,"56,609",,
Dawson,"36,639",,
Deaf Smith,"51,368",,
Delta,"38,716",,
Denton,"54,078",,
DeWitt,"52,478",,
Dickens,"31,203",,
Dimmit,"34,442",,
Donley,"42,572",,
Duval,"35,210",,
Eastland,"61,016",,
Ector,"42,824",,
Edwards,"37,055",,
Ellis,"42,874",,
El Paso,"34,601",,
Erath,"37,009",,
Falls,"33,386",,
Fannin,"36,964",,
Fayette,"50,980",,
Fisher,"39,553",,
Floyd,"39,234",,
Foard,"41,812",,
Fort Bend,"55,584",,
Franklin,"38,365",,
Freestone,"35,541",,
Frio,"28,448",,
Gaines,"39,672",,
Galveston,"49,931",,
Garza,"28,465",,
Gillespie,"59,077",,
Glasscock,"83,038",,
Goliad,"41,335",,
Gonzales,"42,013",,
Gray,"41,647",,
Grayson,"40,793",,
Gregg,"43,651",,
Grimes,"34,333",,
Guadalupe,"43,373",,
Hale,"32,054",,
Hall,"33,158",,
Hamilton,"57,650",,
Hansford,"63,570",,
Hardeman,"38,202",,
Hardin,"44,055",,
Harris,"54,325",,
Harrison,"40,159",,
Hartley,"76,545",,
Haskell,"34,904",,
Hays,"41,725",,
Hemphill,"56,478",,
Henderson,"38,227",,
Hidalgo,"25,712",,
Hill,"38,181",,
Hockley,"40,537",,
Hood,"49,589",,
Hopkins,"38,102",,
Houston,"36,622",,
Howard,"37,588",,
Hudspeth,"33,642",,
Hunt,"36,583",,
Hutchinson,"39,916",,
Irion,"67,749",,
Jack,"39,619",,
Jackson,"40,589",,
Jasper,"39,141",,
Jeff Davis,"40,229",,
Jefferson,"42,349",,
Jim Hogg,"30,513",,
Jim Wells,"39,305",,
Johnson,"40,348",,
Jones,"29,080",,
Karnes,"46,484",,
Kaufman,"41,538",,
Kendall,"82,627",,
Kenedy,"41,239",,
Kent,"51,208",,
Kerr,"48,740",,
Kimble,"42,351",,
King,"72,716",,
Kinney,"29,859",,
Kleberg,"38,256",,
Knox,"37,632",,
Lamar,"40,593",,
Lamb,"40,823",,
Lampasas,"48,300",,
La Salle,"34,461",,
Lavaca,"48,724",,
Lee,"45,391",,
Leon,"37,895",,
Liberty,"36,310",,
Limestone,"34,349",,
Lipscomb,"65,316",,
Live Oak,"33,751",,
Llano,"46,554",,
Loving,"53,692",,
Lubbock,"40,986",,
Lynn,"39,212",,
McCulloch,"37,337",,
McLennan,"39,866",,
McMullen,"65,779",,
Madison,"30,053",,
Marion,"36,412",,
Martin,"52,754",,
Mason,"44,182",,
Matagorda,"40,859",,
Maverick,"28,694",,
Medina,"38,234",,
Menard,"33,454",,
Midland,"111,017",,
Milam,"35,376",,
Mills,"36,518",,
Mitchell,"32,158",,
Montague,"39,408",,
Montgomery,"61,350",,
Moore,"41,903",,
Morris,"40,834",,
Motley,"29,381",,
Nacogdoches,"36,377",,
Navarro,"37,113",,
Newton,"31,924",,
Nolan,"41,313",,
Nueces,"42,516",,
Ochiltree,"56,470",,
Oldham,"54,947",,
Orange,"43,067",,
Palo Pinto,"38,133",,
Panola,"41,003",,
Parker,"51,708",,
Parmer,"46,767",,
Pecos,"34,446",,
Polk,"38,498",,
Potter,"42,004",,
Presidio,"39,886",,
Rains,"33,641",,
Randall,"46,813",,
Reagan,"43,151",,
Real,"33,588",,
Red River,"39,974",,
Reeves,"34,030",,
Refugio,"41,629",,
Roberts,"45,691",,
Robertson,"39,483",,
Rockwall,"59,355",,
Runnels,"37,995",,
Rusk,"34,953",,
Sabine,"33,799",,
San Augustine,"36,583",,
San Jacinto,"33,626",,
San Patricio,"42,417",,
San Saba,"37,205",,
Schleicher,"36,297",,
Scurry,"40,996",,
Shackelford,"108,047",,
Shelby,"39,850",,
Sherman,"95,795",,
Smith,"52,319",,
Somervell,"44,883",,
Starr,"25,497",,
Stephens,"36,061",,
Sterling,"57,888",,
Stonewall,"58,468",,
Sutton,"59,270",,
Swisher,"51,025",,
Tarrant,"49,366",,
Taylor,"42,931",,
Terrell,"46,455",,
Terry,"34,728",,
Throckmorton,"34,589",,
Titus,"33,954",,
Tom Green,"43,802",,
Travis,"64,199",,
Trinity,"33,427",,
Tyler,"30,856",,
Upshur,"34,681",,
Upton,"42,436",,
Uvalde,"38,807",,
Val Verde,"34,687",,
Van Zandt,"36,906",,
Victoria,"44,341",,
Walker,"26,921",,
Waller,"38,669",,
Ward,"41,116",,
Washington,"49,771",,
Webb,"30,340",,
Wharton,"41,277",,
Wheeler,"40,893",,
Wichita,"41,451",,
Wilbarger,"41,832",,
Willacy,"25,300",,
Williamson,"48,588",,
Wilson,"42,683",,
Winkler,"47,359",,
Wise,"41,917",,
Wood,"37,219",,
Yoakum,"42,562",,
Young,"47,937",,
Zapata,"27,112",,
Zavala,"27,121",,
